loja_id,regiao,tamanho_loja,dia_semana,mes,ano,temperatura,precipitacao,dia_pagamento,vendas_total,probabilidade_inadimplencia,categoria_produto_mais_vendido
39,Centro-Oeste,Pequena,7,9,2020,23.13840823214758,43.415908733421674,6,57544.223467816395,0.13967418448572133,Materiais Básicos
29,Sudeste,Média,2,10,2019,32.827273299795564,23.835616042072587,30,78925.98921277355,0.08535421412848915,Elétrica
15,Centro-Oeste,Pequena,6,12,2023,27.744392577601666,68.61021531072203,11,41797.89327948131,0.08673396069898748,Hidráulica
43,Norte,Pequena,1,4,2018,23.029547605097115,56.22816702378662,1,56681.63840457156,0.12218440842633492,Acabamento
8,Sul,Pequena,6,3,2023,30.800242144532042,77.23246916617634,2,29072.505337915107,-0.035206318023410926,Acabamento
21,Centro-Oeste,Média,7,10,2022,27.22698386057143,46.124473595686034,9,52130.755990268844,0.07723500413953649,Materiais Básicos
39,Centro-Oeste,Grande,7,6,2023,20.337203057766473,41.61537242202171,16,54458.80270159188,0.008977239277345422,Elétrica
19,Nordeste,Grande,1,10,2019,34.29401317790258,77.76176473280604,6,66205.7569423804,0.11136589736669297,Materiais Básicos
23,Norte,Pequena,3,9,2019,26.297394115432382,88.23788328994888,23,43466.8102819605,0.04216904089567497,Acabamento
11,Sul,Média,5,7,2018,25.09398095992746,50.1869435273146,27,36640.16291421908,0.0939534749873382,Construção
11,Centro-Oeste,Pequena,1,4,2020,20.72233665047192,34.94485006285788,9,49437.90969379919,0.055632338710298976,Elétrica
24,Centro-Oeste,Média,4,3,2019,30.89769133803869,66.21061525579098,19,11719.396025180053,0.17137491891837747,Ferramentas
36,Sul,Pequena,7,10,2020,27.586377136806533,44.919588676586514,5,35678.34781239277,0.2130556198869331,Acabamento
40,Norte,Média,3,4,2022,28.146190901476203,61.985256508015965,21,87063.07455716512,0.14584502578124095,Ferramentas
24,Nordeste,Média,7,3,2020,22.462343282371158,44.814480512424936,10,38443.66618118603,0.1486479209020801,Hidráulica
3,Centro-Oeste,Grande,4,12,2021,29.170502859550343,81.28028036423626,30,66530.04593012188,0.0978692836001282,Ferramentas
22,Nordeste,Pequena,3,3,2020,29.55906796785401,36.010209898986005,7,45671.11095904922,0.06859385768896065,Elétrica
2,Sudeste,Grande,7,12,2019,21.656108806094387,59.6105932504392,29,101082.35273863305,0.0036409809492316814,Ferramentas
24,Norte,Grande,4,9,2020,17.915049301595047,40.22596059535752,2,114376.48380471728,0.1090951970815589,Hidráulica
44,Sudeste,Média,4,4,2020,27.90686529669462,44.36986877158462,20,50766.414809858376,0.08494522758966744,Acabamento
30,Sudeste,Pequena,7,9,2021,17.133265251971302,41.75888690478847,27,48655.588355559696,0.11121764627661802,Hidráulica
38,Sudeste,Média,7,12,2021,25.760078889188897,64.77216132186831,4,57532.04627321782,0.06445907564848834,Elétrica
2,Norte,Média,6,10,2018,22.763774476063464,68.36726229867742,28,52645.53749850861,0.025429679328982907,Construção
21,Norte,Média,1,5,2019,31.093326053944605,61.15477657864742,8,49265.830711090675,0.042056631280539616,Construção
33,Sul,Pequena,1,7,2018,23.035780546163963,47.84033066509459,26,60804.172118752394,0.17658315298068716,Ferramentas
12,Nordeste,Pequena,3,5,2021,30.53636486001902,52.80360062003186,3,48463.027664460766,0.1967669041523076,Ferramentas
22,Nordeste,Média,5,1,2020,22.42895277818487,67.9544313691885,2,42128.635595987405,0.02141598872957161,Elétrica
44,Sul,Pequena,7,2,2021,29.999955025298057,68.5862317441521,9,87943.72603038873,0.06648002647810758,Materiais Básicos
25,Sul,Média,6,11,2022,35.30170771918416,-3.805512627070698,28,80362.8968158908,0.01268119563029671,Elétrica
49,Sudeste,Pequena,1,5,2020,19.659764308168796,44.55555656454608,11,60100.3410330348,0.1030626634568734,Elétrica
27,Sul,Pequena,1,6,2018,26.46017860865454,45.51482417121029,4,69140.2583650907,0.10436018094754695,Hidráulica
42,Centro-Oeste,Grande,6,7,2020,38.74391207955033,63.385051282523236,9,62474.121304602755,0.09420845216058941,Hidráulica
28,Nordeste,Média,2,2,2022,25.33294413451461,48.664583645785086,6,41773.435368134786,0.07481434050731398,Elétrica
16,Sul,Grande,6,10,2021,25.308941351148242,64.38366761898574,1,94089.05109777342,0.11225867998858587,Acabamento
15,Centro-Oeste,Grande,1,9,2019,28.942494736755098,28.426784579388954,30,109037.10536892277,0.13256173037936383,Ferramentas
47,Centro-Oeste,Média,5,6,2023,25.20540432047377,55.2010903092156,27,36249.36125415978,0.13469050474431213,Elétrica
44,Centro-Oeste,Média,2,2,2019,16.463870027147237,68.00411306900989,3,41904.479903220126,0.16100038810824785,Materiais Básicos
3,Centro-Oeste,Pequena,4,2,2019,30.661436874194692,20.512342613637035,7,52957.671826419864,0.08254539482492179,Ferramentas
37,Sudeste,Média,6,3,2021,14.985257930674036,100.27286936417806,9,74651.84482104378,0.07073425075545067,Acabamento
7,Centro-Oeste,Grande,4,1,2019,22.91604174430829,73.81771865733039,8,79394.37535834048,0.14763991602035242,Elétrica
21,Sudeste,Grande,2,9,2022,31.037128745783242,50.027066049312836,28,103589.66161125999,0.0718961526530874,Construção
9,Sudeste,Média,2,10,2021,23.217287856786072,33.431837855224636,21,49380.85625079216,0.08932155420703475,Acabamento
39,Centro-Oeste,Grande,2,11,2019,21.531517537677978,46.49829699452588,28,94089.1385065644,0.07261911362806629,Construção
18,Nordeste,Pequena,3,4,2023,29.3963195258328,51.67604719222681,13,28343.5743960455,0.1849041784125901,Ferramentas
4,Centro-Oeste,Grande,6,5,2018,20.744426065828065,58.81325113624095,24,60691.063506152386,0.12924406853781617,Materiais Básicos
25,Centro-Oeste,Pequena,7,7,2021,18.88887140204023,80.01321698920061,18,48002.55326016948,0.04327413623293863,Ferramentas
14,Centro-Oeste,Grande,5,1,2021,26.372569937466416,40.47803061114308,19,50702.16018204108,0.09993245462053289,Construção
9,Nordeste,Pequena,5,3,2020,24.085383507937046,61.254196751451225,24,26349.028183166083,0.12026266244047085,Construção
26,Norte,Pequena,4,3,2019,18.781634429055792,24.15141674799774,9,44982.05809165676,0.043850976663837304,Ferramentas
2,Norte,Média,4,2,2018,28.18476269997435,41.727985713494654,26,29041.185970324885,0.11771529879635402,Construção
20,Sudeste,Pequena,7,8,2023,27.322438027886168,57.53433695738717,24,49022.09195114848,0.09245501779476244,Elétrica
28,Sudeste,Média,4,5,2022,23.20122491697184,63.8252498201761,20,55027.09905109544,0.038741422960595295,Ferramentas
47,Nordeste,Grande,6,1,2021,23.543339969375268,34.935350466707604,29,45813.476227026425,0.032654716392918504,Elétrica
7,Sul,Grande,1,12,2022,27.351963710045784,41.184166079761724,6,68143.94897994072,0.16844198546965017,Elétrica
44,Norte,Grande,4,2,2022,30.95180709876033,79.21113271167091,27,67520.63057076377,0.05806090727680546,Construção
8,Sudeste,Pequena,2,1,2022,23.586033949453377,73.2381723925609,21,73831.53538619197,0.1504010448325815,Construção
47,Norte,Grande,4,6,2020,28.273442465040723,54.16914434104733,12,78609.97673908382,0.13283365346010517,Acabamento
35,Nordeste,Grande,2,9,2022,27.826001085422995,5.267096935585691,4,100627.49945147522,0.06883128561842192,Construção
14,Nordeste,Média,3,11,2019,29.396536463544884,100.22265095380017,9,35048.83360677478,0.12494842617260801,Materiais Básicos
17,Sul,Média,1,7,2019,25.196545993717326,49.6013687668551,10,43775.99510193011,0.116409056317723,Elétrica
36,Sul,Grande,1,5,2018,20.43837242966821,43.748658839573466,3,100876.9736280205,0.14533265692886838,Hidráulica
40,Nordeste,Grande,7,12,2018,22.687504234000155,39.5528014829177,17,14617.940116110038,0.10873983223311999,Construção
