Data,Pressao,Temperatura,Umidade
2004-12-21,null,null,null
2004-12-22,null,null,56.8
2004-12-23,null,null,58.5
2004-12-24,1009.9,27.5,66.6
2004-12-25,1011,27.2,70.4
2004-12-26,1011.4,27.3,64.2
2004-12-27,1009.9,25.4,69.3
2004-12-28,1010.4,27,67.3
2004-12-29,1012.7,27.4,69.1
2004-12-30,1012.7,27.8,66.4
2004-12-31,1012.3,26.7,67.2
2005-01-01,1011.8,26.6,67
2005-01-02,1013,27.2,66.7
2005-01-03,1013.2,27.8,64.6
2005-01-04,1012.3,26.7,73.2
2005-01-05,1011.9,27.1,65.6
2005-01-06,1011.4,26.1,66.7
2005-01-07,1011.1,26,72.5
2005-01-08,1010.5,26.7,75.6
2005-01-09,1010.2,27.8,69.6
2005-01-10,1010.4,27.9,66.4
2005-01-11,1010.7,27.5,68.3
2005-01-12,1010.4,26.9,71.3
2005-01-13,1009.7,27.7,72.4
2005-01-14,1009.8,27.6,72.4
2005-01-15,1009.3,28.2,67.8
2005-01-16,1009,27.5,67.8
2005-01-17,1008.5,27.8,67.6
2005-01-18,1009,27.9,68.7
2005-01-19,1009.7,28,68.3
2005-01-20,1010.8,26.6,73
2005-01-21,1011.3,27.8,70.8
2005-01-22,1011,28.2,70.8
2005-01-23,1010.3,27.5,70
2005-01-24,1009.7,27.8,69.5
2005-01-25,1009.5,28.3,71.9
2005-01-26,1010.9,28.5,70.2
2005-01-27,1011.5,28.7,67.6
2005-01-28,1010.5,27.6,66.6
2005-01-29,1008.7,27.7,65.8
2005-01-30,1008.7,27.4,64.6
2005-01-31,1009,27.3,65.9
2005-02-01,1008.7,26.9,72.6
2005-02-02,1008.9,28.3,70.7
2005-02-03,1010.4,28.2,68.4
2005-02-04,1011.6,27.6,72.8
2005-02-05,1012.1,27.5,72.1
2005-02-06,1011.3,27.7,66.2
2005-02-07,1010.2,26.7,72.9
2005-02-08,1010,26.1,78.7
2005-02-09,1009.5,24.9,83.2
2005-02-10,1008.4,26.2,78.7
2005-02-11,1009,26.5,77.6
2005-02-12,1009.7,27,75.2
2005-02-13,1010.3,27.2,75.5
2005-02-14,1009.1,27.9,73.2
2005-02-15,1007.7,27.7,75.6
2005-02-16,1008.4,25.8,85.3
2005-02-17,1010.2,27.8,75.5
2005-02-18,1011.1,28.5,67.2
2005-02-19,1011,28,69.6
2005-02-20,1009.9,28.4,66.5
2005-02-21,1009,27.6,66.3
